Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/07/2019 15,33.22,38.26,10961
01/07/2019 16,33.21,38.26,11003
01/07/2019 17,33.66,38.25,11107
01/07/2019 18,42.44,38.24,11269
01/07/2019 19,36.19,38.24,11184
01/07/2019 20,46.9,38.26,11149
01/07/2019 21,47.49,38.28,11098
01/07/2019 22,42.65,38.29,10906
01/07/2019 23,33.44,38.29,10566
01/07/2019 24,33.22,38.27,10256
01/08/2019 01,33.18,38.24,10032
01/08/2019 02,33.01,38.23,9933
01/08/2019 03,33.2,38.23,9895
01/08/2019 04,33.22,38.23,9871
01/08/2019 05,33.22,38.23,9943
01/08/2019 06,33.23,38.23,10124
01/08/2019 07,59.08,38.27,10480
01/08/2019 08,394.44,38.77,10892
01/08/2019 09,165.11,38.95,10980
01/08/2019 10,56.41,38.99,10984
01/08/2019 11,47.91,39.01,10958
01/08/2019 12,49.47,39.03,10958
01/08/2019 13,43.98,39.04,10967
01/08/2019 14,41.4,39.06,10963
01/08/2019 15,44.21,39.07,10932
01/08/2019 16,60.02,39.11,10998
01/08/2019 17,52.01,39.13,11181
01/08/2019 18,50.17,39.16,11301
01/08/2019 19,38.81,39.16,11199
01/08/2019 20,34.21,39.16,11168
01/08/2019 21,34.5,39.16,11010
01/08/2019 22,39.84,39.17,10786
01/08/2019 23,33.22,39.17,10446
01/08/2019 24,33.05,39.16,10114
01/09/2019 01,32.79,39.15,9926
01/09/2019 02,33.13,39.14,9774
01/09/2019 03,32.82,39.14,9690
01/09/2019 04,32.32,39.14,9637
01/09/2019 05,32.74,39.14,9682
01/09/2019 06,32.78,39.14,9876
01/09/2019 07,38.3,39.15,10299
01/09/2019 08,33.24,39.15,10786
01/09/2019 09,42.92,39.17,11011
01/09/2019 10,38.61,39.17,10983
01/09/2019 11,47.38,39.19,11029
01/09/2019 12,45.57,39.19,10999
01/09/2019 13,37.01,39.19,10906
01/09/2019 14,35,39.2,10865
01/09/2019 15,35,39.2,10832
01/09/2019 16,34.3,39.19,10855
01/09/2019 17,35.42,39.18,11080
01/09/2019 18,41.07,39.15,11202
01/09/2019 19,33.42,39.11,11052
01/09/2019 20,34.03,39.07,11033
01/09/2019 21,35.08,39.04,10934
01/09/2019 22,33.43,39.04,10704
01/09/2019 23,32.79,39.04,10331
01/09/2019 24,32.66,39.04,9997
01/10/2019 01,32.79,39.04,9790
01/10/2019 02,31.33,39.03,9670
01/10/2019 03,29.98,39.03,9626
01/10/2019 04,31.47,39.03,9606
01/10/2019 05,30.98,39.02,9621
01/10/2019 06,32.8,39.02,9849
01/10/2019 07,33.23,39.03,10282
01/10/2019 08,35.7,39.03,10740
01/10/2019 09,37.32,39.04,10864
01/10/2019 10,34.67,39.04,10807
01/10/2019 11,33.23,39.02,10743
01/10/2019 12,33.22,38.98,10699
01/10/2019 13,32.92,38.98,10633
01/10/2019 14,32.79,38.96,10568
01/10/2019 15,32.79,38.94,10525
01/10/2019 16,33,38.92,10582
01/10/2019 17,33.1,38.89,10782
01/10/2019 18,40.54,38.88,11059
01/10/2019 19,33.4,38.86,10951
01/10/2019 20,33.44,38.85,10855
01/10/2019 21,33.88,38.82,10707
01/10/2019 22,33.22,38.8,10456
01/10/2019 23,33.04,38.78,10156
01/10/2019 24,32.75,38.78,9830
01/11/2019 01,32.74,38.78,9627
01/11/2019 02,32.76,38.78,9528
01/11/2019 03,32.77,38.77,9507
01/11/2019 04,32.68,38.77,9504
01/11/2019 05,32.48,38.77,9517
01/11/2019 06,32.78,38.77,9710
01/11/2019 07,33,38.76,10134
01/11/2019 08,36.09,38.74,10599
01/11/2019 09,33.22,38.71,10739
01/11/2019 10,33.22,38.66,10695
01/11/2019 11,33.22,38.61,10670
01/11/2019 12,33.22,38.6,10655
01/11/2019 13,33.22,38.6,10649
01/11/2019 14,33.22,38.6,10679
01/11/2019 15,33.22,38.6,10593
01/11/2019 16,32.9,38.6,10522
01/11/2019 17,32.89,38.6,10676
01/11/2019 18,33.14,38.6,10945
01/11/2019 19,32.98,38.6,10746
01/11/2019 20,32.78,38.6,10572
01/11/2019 21,32.79,38.59,10378
01/11/2019 22,32.79,38.58,10219
01/11/2019 23,30.86,38.57,9972
01/11/2019 24,28.73,38.56,9686
01/12/2019 01,28.54,38.56,9476
01/12/2019 02,29.34,38.55,9341
01/12/2019 03,27.38,38.54,9231
01/12/2019 04,27.18,38.53,9237
01/12/2019 05,27.06,38.52,9253
01/12/2019 06,27.05,38.5,9233
01/12/2019 07,27.24,38.49,9310
01/12/2019 08,29.96,38.49,9569
01/12/2019 09,32.78,38.47,9763
01/12/2019 10,32.79,38.41,9918
01/12/2019 11,33.05,38.36,10065
01/12/2019 12,33.22,38.33,10085
01/12/2019 13,33.23,38.31,10088
01/12/2019 14,33.23,38.3,10032
01/12/2019 15,33.03,38.29,9978
01/12/2019 16,32.99,38.28,9991
01/12/2019 17,33.55,38.25,10147
01/12/2019 18,36,38.2,10524
01/12/2019 19,34.05,38.17,10512
01/12/2019 20,33.22,38.14,10374
01/12/2019 21,33.17,38.12,10245
01/12/2019 22,32.99,38.11,10083
01/12/2019 23,32.78,38.1,9902
01/12/2019 24,32.78,38.1,9654
01/13/2019 01,32.78,38.1,9487
01/13/2019 02,32.78,38.1,9342
01/13/2019 03,28.46,38.1,9281
01/13/2019 04,28.46,38.09,9288
01/13/2019 05,28.46,38.08,9273
01/13/2019 06,28.46,38.07,9301
01/13/2019 07,30.57,38.07,9385
01/13/2019 08,33.12,38.07,9650
01/13/2019 09,33.22,38.06,9886
01/13/2019 10,33.22,38.06,10019
01/13/2019 11,33.23,38.06,10156
01/13/2019 12,33.23,38.05,10190
01/13/2019 13,33.23,38.03,10194
01/13/2019 14,33.23,38.02,10191
01/13/2019 15,33.23,38.01,10161
01/13/2019 16,33.23,38,10140
01/13/2019 17,36.63,38,10361
