Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
03/15/2019 08,33.05,80.61,10366
03/15/2019 09,39.3,80.48,10455
03/15/2019 10,42.89,80.36,10472
03/15/2019 11,43.96,80.31,10425
03/15/2019 12,45.56,80.3,10382
03/15/2019 13,46.25,80.3,10293
03/15/2019 14,49.74,80.31,10221
03/15/2019 15,64.34,80.25,10203
03/15/2019 16,54.73,80.19,10141
03/15/2019 17,48.66,80.16,10133
03/15/2019 18,44.65,80.09,10072
03/15/2019 19,34.38,80,9987
03/15/2019 20,39.12,79.89,10069
03/15/2019 21,44.61,79.79,10263
03/15/2019 22,37.3,79.75,10172
03/15/2019 23,47.28,79.74,9894
03/15/2019 24,179.64,79.87,9578
03/16/2019 01,44.38,79.84,9461
03/16/2019 02,41.55,79.82,9391
03/16/2019 03,40.35,79.82,9319
03/16/2019 04,43.24,79.81,9295
03/16/2019 05,38.36,79.8,9283
03/16/2019 06,35.34,79.77,9380
03/16/2019 07,43.18,79.76,9482
03/16/2019 08,40.7,79.72,9649
03/16/2019 09,40.56,79.69,9783
03/16/2019 10,33.23,79.63,9875
03/16/2019 11,42.12,79.53,9910
03/16/2019 12,40.11,79.46,9902
03/16/2019 13,42.06,79.41,9839
03/16/2019 14,33.22,79.34,9784
03/16/2019 15,33.22,79.26,9729
03/16/2019 16,33.23,79.19,9680
03/16/2019 17,42.99,79.16,9776
03/16/2019 18,44.93,79.15,9831
03/16/2019 19,45.17,79.14,9802
03/16/2019 20,43.22,79.13,9917
03/16/2019 21,44.94,79.12,10122
03/16/2019 22,44.33,79.08,10021
03/16/2019 23,43.61,79.05,9837
03/16/2019 24,42.55,79,9582
03/17/2019 01,36.72,78.97,9372
03/17/2019 02,33.22,78.93,9260
03/17/2019 03,33.22,78.9,9132
03/17/2019 04,33.22,78.87,9082
03/17/2019 05,33.99,78.84,9123
03/17/2019 06,40.22,78.8,9230
03/17/2019 07,39.58,78.77,9328
03/17/2019 08,33.23,78.74,9461
03/17/2019 09,34.83,78.71,9583
03/17/2019 10,44.06,78.68,9693
03/17/2019 11,44.86,78.64,9706
03/17/2019 12,44.92,78.53,9755
03/17/2019 13,44.99,78.47,9746
03/17/2019 14,45,78.42,9688
03/17/2019 15,44.23,78.38,9642
03/17/2019 16,40.78,78.35,9650
03/17/2019 17,42.61,78.33,9713
03/17/2019 18,43.45,78.3,9867
03/17/2019 19,44.93,78.23,9849
03/17/2019 20,44.93,78.19,9926
03/17/2019 21,45.17,78.15,10129
03/17/2019 22,42.94,78.13,9993
03/17/2019 23,34.96,78.11,9711
03/17/2019 24,33.11,78.09,9427
03/18/2019 01,33.09,78.07,9209
03/18/2019 02,32.99,78.06,9129
03/18/2019 03,33.25,78.04,9119
03/18/2019 04,33.22,78.03,9108
03/18/2019 05,33.22,78.03,9135
03/18/2019 06,33.22,78.03,9306
03/18/2019 07,39.01,78.03,9756
03/18/2019 08,44.98,78.05,10212
03/18/2019 09,43.19,78.06,10277
03/18/2019 10,42.36,78.07,10242
03/18/2019 11,43.33,78.07,10205
03/18/2019 12,45.11,78.06,10143
03/18/2019 13,45.69,78.06,10091
03/18/2019 14,45.63,78.08,10067
03/18/2019 15,48.01,78.1,10105
03/18/2019 16,46.11,78.11,10082
03/18/2019 17,63.42,78.16,10096
03/18/2019 18,49.32,78.18,10071
03/18/2019 19,46.43,78.17,9958
03/18/2019 20,45.69,78.15,9958
03/18/2019 21,51.91,78.15,10169
03/18/2019 22,52.37,78.15,9991
03/18/2019 23,47.22,78.15,9669
03/18/2019 24,44.34,78.15,9317
03/19/2019 01,41.2,78.15,9123
03/19/2019 02,35.37,78.15,9053
03/19/2019 03,33.23,78.15,9011
03/19/2019 04,33.23,78.15,8988
03/19/2019 05,33.23,78.15,9004
03/19/2019 06,34.51,78.15,9148
03/19/2019 07,42.72,78.16,9562
03/19/2019 08,45.04,78.16,9988
03/19/2019 09,43.86,78.16,10039
03/19/2019 10,44.77,78.18,10082
03/19/2019 11,44.95,78.19,10060
03/19/2019 12,45.56,78.18,10022
03/19/2019 13,46.87,78.14,9957
03/19/2019 14,76.85,78.13,9903
03/19/2019 15,55.21,78.09,9864
03/19/2019 16,51.24,78.1,9842
03/19/2019 17,51.24,78.1,9866
03/19/2019 18,48.22,78.09,9839
03/19/2019 19,48.96,78.04,9727
03/19/2019 20,47.49,77.84,9730
03/19/2019 21,633.45,78.41,9877
03/19/2019 22,89.03,78.4,9720
03/19/2019 23,49.06,78.37,9483
03/19/2019 24,40.76,78.34,9188
03/20/2019 01,51.24,78.33,9006
03/20/2019 02,43.55,78.32,8889
03/20/2019 03,34.91,78.29,8837
03/20/2019 04,33.22,78.25,8825
03/20/2019 05,33.23,78.21,8857
03/20/2019 06,42.97,78.15,9081
03/20/2019 07,80.09,78.09,9551
03/20/2019 08,80.83,78.06,9893
03/20/2019 09,79.91,78.09,9894
03/20/2019 10,57.94,78.1,9830
03/20/2019 11,44.87,78.09,9810
03/20/2019 12,44.98,77.95,9773
03/20/2019 13,51.25,77.93,9781
03/20/2019 14,80.8,77.96,9766
03/20/2019 15,71.12,78.01,9800
03/20/2019 16,88.87,78.09,9748
03/20/2019 17,73.24,78.15,9786
03/20/2019 18,762.54,79.15,9683
03/20/2019 19,87.03,79.22,9525
03/20/2019 20,53.54,79.24,9601
03/20/2019 21,418.88,79.77,9752
03/20/2019 22,175.42,79.97,9622
03/20/2019 23,44.61,79.98,9424
03/20/2019 24,42.2,80,9146
03/21/2019 01,33.22,79.99,8973
03/21/2019 02,43.91,80.01,8933
03/21/2019 03,44.45,80.02,8940
03/21/2019 04,44.78,80.04,8971
03/21/2019 05,44.82,80.05,8946
03/21/2019 06,46.12,80.07,9171
03/21/2019 07,86.47,80.15,9612
03/21/2019 08,78.21,80.2,9974
03/21/2019 09,94.42,80.26,10023
03/21/2019 10,728.44,81.21,9937
03/21/2019 11,678.58,82.11,9870
03/21/2019 12,148.14,82.24,9900
03/21/2019 13,36.88,82.22,9956
03/21/2019 14,34.2,82.21,10025
03/21/2019 15,44.57,82.22,10026
03/21/2019 16,89.98,82.29,9979
03/21/2019 17,88.46,82.36,9953
03/21/2019 18,55,82.36,9947
03/21/2019 19,35.8,82.33,9838
03/21/2019 20,76.59,82.37,9820
03/21/2019 21,88.38,82.42,10016
03/21/2019 22,53.95,82.41,9875
03/21/2019 23,33.22,82.38,9613
03/21/2019 24,33.22,82.37,9361
03/22/2019 01,36.76,82.37,9141
03/22/2019 02,32.99,82.34,9061
03/22/2019 03,32.19,82.31,9049
03/22/2019 04,29.89,82.26,9038
03/22/2019 05,30.62,82.21,9078
03/22/2019 06,33.05,82.16,9263
03/22/2019 07,35.63,82.13,9639
03/22/2019 08,33.22,82.07,10027
03/22/2019 09,33.22,82.01,10139
03/22/2019 10,71.34,82.04,10159
03/22/2019 11,88.79,82.09,10103
03/22/2019 12,67.77,82.1,10078
03/22/2019 13,63.96,82.1,10015
03/22/2019 14,66.68,82.12,9963
03/22/2019 15,49.69,82.12,9935
03/22/2019 16,52.51,82.11,9916
03/22/2019 17,50,82.08,9894
03/22/2019 18,40.65,82.01,9839
03/22/2019 19,42.08,82,9692
03/22/2019 20,37.43,81.9,9722
03/22/2019 21,38.89,81.73,9937
03/22/2019 22,49.29,81.66,9816
03/22/2019 23,45.95,81.65,9574
03/22/2019 24,54.96,81.68,9320
03/23/2019 01,42.47,81.69,9162
03/23/2019 02,34.97,81.69,9035
03/23/2019 03,35.4,81.7,8990
03/23/2019 04,33.22,81.7,8968
03/23/2019 05,33.23,81.68,8978
03/23/2019 06,33.23,81.65,9078
03/23/2019 07,40.01,81.64,9275
03/23/2019 08,33.22,81.6,9481
03/23/2019 09,37.93,81.53,9661
03/23/2019 10,44.27,81.46,9814
03/23/2019 11,45.07,81.43,9868
03/23/2019 12,54.06,81.4,9899
03/23/2019 13,49.73,81.31,9780
03/23/2019 14,44.93,81.28,9703
03/23/2019 15,44.81,81.28,9641
03/23/2019 16,44.63,81.27,9618
03/23/2019 17,44.47,81.27,9670
03/23/2019 18,40.05,81.26,9697
03/23/2019 19,36.05,81.24,9625
03/23/2019 20,33.2,81.23,9627
03/23/2019 21,33.22,81.2,9816
03/23/2019 22,32.97,81.17,9736
03/23/2019 23,31.32,81.14,9495
03/23/2019 24,32.79,81.14,9268
03/24/2019 01,33.22,81.14,9097
03/24/2019 02,36.37,81.14,9036
03/24/2019 03,33.23,81.14,8946
03/24/2019 04,33.23,81.14,8945
03/24/2019 05,33.23,81.14,9017
03/24/2019 06,33.23,81.15,9056
03/24/2019 07,41.09,81.16,9176
03/24/2019 08,36.01,81.17,9324
03/24/2019 09,37.49,81.17,9473
03/24/2019 10,36.52,81.17,9634
03/24/2019 11,38.45,81.17,9712
03/24/2019 12,39.41,81.15,9806
03/24/2019 13,43.17,81.14,9842
03/24/2019 14,43.62,81.15,9799
03/24/2019 15,41.33,81.17,9727
03/24/2019 16,42.34,81.16,9778
03/24/2019 17,44.85,81.16,9886
03/24/2019 18,55.24,81.18,9934
03/24/2019 19,44.98,81.18,9857
03/24/2019 20,44.82,81.18,9863
03/24/2019 21,49.92,81.19,10004
03/24/2019 22,55.4,81.2,9856
03/24/2019 23,44.15,81.21,9589
03/24/2019 24,40.63,81.22,9310
03/25/2019 01,33.23,81.22,9117
03/25/2019 02,37.61,81.22,8998
03/25/2019 03,41.84,81.24,8958
03/25/2019 04,35.89,81.23,8945
03/25/2019 05,33.22,81.22,8981
03/25/2019 06,35.66,81.23,9202
03/25/2019 07,38.84,81.24,9609
03/25/2019 08,44.63,81.25,10004
03/25/2019 09,44.8,81.27,10204
03/25/2019 10,44.95,81.28,10352
03/25/2019 11,53.09,81.31,10386
03/25/2019 12,41.96,81.32,10277
03/25/2019 13,33.23,81.32,10146
03/25/2019 14,33.01,81.32,10085
03/25/2019 15,32.99,81.31,9996
03/25/2019 16,32.99,81.3,9970
03/25/2019 17,33.01,81.28,9973
03/25/2019 18,33.22,81.25,9980
03/25/2019 19,33.23,81.23,9875
03/25/2019 20,33.23,81.2,9890
03/25/2019 21,44.07,81.19,10002
03/25/2019 22,41.21,81.17,9836
03/25/2019 23,33.92,81.15,9508
03/25/2019 24,35.04,81.13,9215
03/26/2019 01,33.23,81.1,9008
03/26/2019 02,32.99,81.08,8880
03/26/2019 03,32.99,81.06,8862
03/26/2019 04,33.22,81.05,8852
03/26/2019 05,33.23,81.03,8868
03/26/2019 06,36.22,81.03,9064
03/26/2019 07,34.58,81.02,9472
03/26/2019 08,32.98,81.01,9857
03/26/2019 09,32.99,80.99,9911
03/26/2019 10,37.69,80.98,9968
03/26/2019 11,33.18,80.96,10014
03/26/2019 12,32.99,80.94,10011
03/26/2019 13,32.88,80.91,9950
03/26/2019 14,32.78,80.89,9929
03/26/2019 15,32.76,80.86,9893
03/26/2019 16,32.7,80.84,9899
03/26/2019 17,32.7,80.81,9981
03/26/2019 18,32.7,80.79,10001
03/26/2019 19,31.05,80.76,9873
03/26/2019 20,28.47,80.72,9848
03/26/2019 21,29.99,80.68,9962
03/26/2019 22,30.55,80.65,9824
03/26/2019 23,31.76,80.62,9518
03/26/2019 24,30.95,80.6,9233
03/27/2019 01,32.02,80.57,9023
03/27/2019 02,32.79,80.54,8929
03/27/2019 03,32.79,80.54,8875
03/27/2019 04,32.95,80.53,8892
03/27/2019 05,32.99,80.5,8873
03/27/2019 06,33.12,80.47,9058
03/27/2019 07,33.67,80.43,9451
03/27/2019 08,33.26,80.35,9827
03/27/2019 09,39.17,80.31,10005
03/27/2019 10,44.36,80.24,10127
03/27/2019 11,44.52,80.18,10181
03/27/2019 12,44.26,80.12,10196
03/27/2019 13,40.24,80.04,10114
03/27/2019 14,40.35,79.98,10052
03/27/2019 15,33.73,79.91,10039
03/27/2019 16,34.94,79.85,10026
03/27/2019 17,33.23,79.82,10035
03/27/2019 18,33.06,79.78,9995
03/27/2019 19,32.89,79.69,9821
03/27/2019 20,33.14,78.69,9836
03/27/2019 21,33.21,77.68,9996
03/27/2019 22,33.18,77.56,9930
03/27/2019 23,32.79,77.48,9635
03/27/2019 24,31.28,77.42,9310
03/28/2019 01,29.24,77.39,9097
03/28/2019 02,32.77,77.36,8982
03/28/2019 03,32.92,77.34,8937
03/28/2019 04,33.23,77.31,8952
03/28/2019 05,41.15,77.29,9014
03/28/2019 06,43.51,77.28,9219
03/28/2019 07,43.82,76.78,9582
03/28/2019 08,43.95,76.44,9919
03/28/2019 09,44.06,76.31,10036
03/28/2019 10,40.27,76.26,10061
03/28/2019 11,37.82,76.17,10059
03/28/2019 12,43.98,76.14,10024
03/28/2019 13,40.53,75.99,9946
03/28/2019 14,40.11,75.95,9884
03/28/2019 15,33.96,75.92,9843
03/28/2019 16,40.27,75.89,9800
03/28/2019 17,40.95,75.77,9740
03/28/2019 18,33.23,75.73,9739
03/28/2019 19,33.23,75.7,9608
03/28/2019 20,33.23,75.67,9598
03/28/2019 21,37.78,75.61,9846
03/28/2019 22,38.36,75.57,9800
03/28/2019 23,33.83,75.53,9509
03/28/2019 24,33.17,75.51,9185
03/29/2019 01,32.99,75.48,8993
03/29/2019 02,32.99,75.46,8925
03/29/2019 03,32.99,75.43,8868
03/29/2019 04,32.99,75.37,8879
03/29/2019 05,32.99,75.34,8927
03/29/2019 06,32.99,75.32,9066
03/29/2019 07,33.19,75.27,9436
03/29/2019 08,33.22,75.18,9722
03/29/2019 09,33.22,75.13,9839
03/29/2019 10,33.22,75.11,9943
03/29/2019 11,33.28,75.06,10000
03/29/2019 12,43.56,74.95,10018
03/29/2019 13,38.48,74.89,9981
03/29/2019 14,34.15,74.83,9938
03/29/2019 15,33.22,74.78,9876
03/29/2019 16,33.22,74.73,9805
03/29/2019 17,33.14,74.64,9751
03/29/2019 18,33.11,73.94,9683
03/29/2019 19,33.11,73.65,9570
03/29/2019 20,35.44,73.57,9507
03/29/2019 21,33.22,73.44,9690
03/29/2019 22,33.22,73.01,9667
03/29/2019 23,32.99,72.93,9386
03/29/2019 24,32.99,72.89,9141
03/30/2019 01,32.79,72.78,8971
03/30/2019 02,32.79,72.74,8855
03/30/2019 03,32.79,72.65,8763
03/30/2019 04,32.78,72.6,8718
03/30/2019 05,32.78,72.55,8720
03/30/2019 06,32.78,72.51,8817
03/30/2019 07,32.62,72.49,8945
03/30/2019 08,32.78,72.47,9092
03/30/2019 09,32.79,72.42,9293
03/30/2019 10,33.12,72.33,9467
03/30/2019 11,33.23,72.25,9544
03/30/2019 12,33.23,72.13,9568
03/30/2019 13,33.23,71.91,9542
03/30/2019 14,32.91,71.04,9494
03/30/2019 15,32.88,70.76,9461
03/30/2019 16,32.79,69.95,9443
03/30/2019 17,33.04,69.81,9459
03/30/2019 18,32.79,68.88,9425
03/30/2019 19,32.95,68.73,9386
03/30/2019 20,32.79,67.72,9327
03/30/2019 21,32.78,66.68,9467
03/30/2019 22,32.9,66.3,9444
03/30/2019 23,33.22,66.21,9271
03/30/2019 24,33.23,66.18,9088
03/31/2019 01,33.23,65.99,8903
03/31/2019 02,33.23,65.97,8744
03/31/2019 03,33.23,65.93,8668
03/31/2019 04,33.23,65.9,8640
03/31/2019 05,33.23,65.9,8712
03/31/2019 06,33.23,65.9,8769
03/31/2019 07,33.23,65.9,8887
03/31/2019 08,33.02,65.89,8929
03/31/2019 09,32.99,65.86,9125
03/31/2019 10,33.23,65.51,9321
03/31/2019 11,33.23,64.98,9408
03/31/2019 12,33.23,64.94,9452
03/31/2019 13,33.23,64.91,9445
03/31/2019 14,33.23,64.88,9427
03/31/2019 15,33.23,64.31,9412
03/31/2019 16,33.23,63.76,9367
03/31/2019 17,39.36,63.71,9456
03/31/2019 18,39.79,63.05,9532
03/31/2019 19,38.88,62.45,9465
03/31/2019 20,42.4,61.45,9462
03/31/2019 21,43.11,60.36,9641
03/31/2019 22,34.48,59.66,9524
03/31/2019 23,37.3,59.15,9307
03/31/2019 24,37.53,59.07,9015
04/01/2019 01,33.23,58.94,8773
04/01/2019 02,33.22,58.89,8619
04/01/2019 03,33.12,58.81,8553
04/01/2019 04,32.99,58.72,8524
04/01/2019 05,32.99,58.62,8590
04/01/2019 06,32.92,58.51,8809
04/01/2019 07,33.19,58.35,9259
04/01/2019 08,33.23,57.52,9626
04/01/2019 09,36.83,57.44,9760
04/01/2019 10,44.09,57.38,9759
04/01/2019 11,40.37,57.02,9747
04/01/2019 12,52.69,56.22,9767
04/01/2019 13,47.59,56.18,9764
04/01/2019 14,47.59,55.61,9753
04/01/2019 15,44.27,55.57,9682
04/01/2019 16,43.51,55.53,9715
04/01/2019 17,48.54,55.51,9758
04/01/2019 18,46.43,55.49,9713
04/01/2019 19,43.63,55.45,9564
04/01/2019 20,43.03,55.41,9525
04/01/2019 21,57.98,55.4,9698
04/01/2019 22,54.26,55.39,9634
04/01/2019 23,58.73,55.38,9377
04/01/2019 24,51.02,55.36,9083
04/02/2019 01,40.13,55.33,8895
04/02/2019 02,39.42,55.3,8752
04/02/2019 03,44.52,55.27,8678
04/02/2019 04,45.34,55.24,8653
04/02/2019 05,44.65,55.22,8764
04/02/2019 06,40.92,55.18,8972
04/02/2019 07,71.91,55.17,9386
04/02/2019 08,107.85,55.23,9631
04/02/2019 09,91.48,55.25,9736
04/02/2019 10,83.46,55.27,9758
04/02/2019 11,64.39,55.27,9791
04/02/2019 12,50.32,55.25,9749
04/02/2019 13,35.6,55.2,9699
04/02/2019 14,51.13,55.18,9725
04/02/2019 15,79.9,55.2,9660
04/02/2019 16,83.35,55.24,9632
04/02/2019 17,78.23,55.26,9671
04/02/2019 18,110.78,55.29,9651
04/02/2019 19,52.44,55.21,9523
04/02/2019 20,60,55.17,9479
04/02/2019 21,52.58,54.51,9709
04/02/2019 22,39.07,54.22,9671
04/02/2019 23,32.98,53.87,9418
04/02/2019 24,32.91,53.84,9149
04/03/2019 01,32.79,53.82,8952
04/03/2019 02,32.79,53.79,8850
04/03/2019 03,32.79,53.75,8777
04/03/2019 04,32.78,53.72,8735
04/03/2019 05,32.99,53.68,8795
04/03/2019 06,33.23,53.64,9050
04/03/2019 07,43.86,53.44,9531
04/03/2019 08,34.71,53.36,9804
04/03/2019 09,35.96,53.07,9831
04/03/2019 10,42.46,52.86,9776
04/03/2019 11,45.6,52.53,9802
04/03/2019 12,40.85,52.51,9776
04/03/2019 13,33.99,52.43,9765
04/03/2019 14,35.83,51.76,9788
04/03/2019 15,33.23,50.76,9818
04/03/2019 16,33.23,49.84,9772
04/03/2019 17,33.06,49.8,9803
04/03/2019 18,31.79,49.71,9734
04/03/2019 19,31.72,49.63,9579
04/03/2019 20,32.78,49.5,9547
04/03/2019 21,32.97,49.31,9718
04/03/2019 22,32.99,49.28,9631
04/03/2019 23,32.85,49.23,9337
04/03/2019 24,31.73,49.19,9045
04/04/2019 01,30.68,49.15,8843
04/04/2019 02,28.47,49.12,8753
04/04/2019 03,28.46,49.09,8719
04/04/2019 04,28.47,49.06,8748
04/04/2019 05,28.47,49.02,8810
04/04/2019 06,28.47,48.98,8990
04/04/2019 07,33.11,48.94,9476
04/04/2019 08,33.23,48.71,9809
04/04/2019 09,44.14,48.68,9872
04/04/2019 10,35.89,48.62,9854
04/04/2019 11,32.99,48.28,9865
04/04/2019 12,33.11,48.24,9865
04/04/2019 13,33.23,48.23,9891
04/04/2019 14,33.23,48.2,9849
04/04/2019 15,33.22,48.2,9836
04/04/2019 16,33.17,48.19,9810
04/04/2019 17,33.22,48.19,9847
04/04/2019 18,33.23,48.17,9819
04/04/2019 19,32.99,48.14,9721
04/04/2019 20,34.15,48.12,9720
04/04/2019 21,33.23,48.09,9812
04/04/2019 22,33.11,48.06,9741
04/04/2019 23,33.08,48.03,9483
04/04/2019 24,31.85,48.01,9132
04/05/2019 01,31.08,47.97,8925
04/05/2019 02,32.79,47.92,8937
04/05/2019 03,33.15,47.89,8916
04/05/2019 04,33.23,47.86,8880
04/05/2019 05,34.53,47.84,8956
04/05/2019 06,40.61,47.83,9145
04/05/2019 07,71.19,47.86,9530
04/05/2019 08,57.83,47.87,9812
04/05/2019 09,51.64,47.86,9907
04/05/2019 10,70.14,47.88,9916
04/05/2019 11,391.36,48.35,9873
04/05/2019 12,115.47,48.44,9883
04/05/2019 13,167.44,48.6,9816
04/05/2019 14,43.46,48.58,9822
04/05/2019 15,36.95,48.56,9804
04/05/2019 16,325.22,48.94,9738
04/05/2019 17,209.68,49.15,9724
04/05/2019 18,47.73,49.14,9772
04/05/2019 19,76.01,49.16,9640
04/05/2019 20,33.23,49.13,9633
04/05/2019 21,47.94,49.12,9755
04/05/2019 22,40.03,49.09,9681
04/05/2019 23,33.11,49.05,9468
04/05/2019 24,32.99,49.02,9219
04/06/2019 01,32.94,49.01,8978
04/06/2019 02,32.79,49.01,8859
04/06/2019 03,32.15,49,8769
04/06/2019 04,28.46,49,8733
04/06/2019 05,28.25,48.99,8728
04/06/2019 06,27.47,48.98,8787
04/06/2019 07,27.15,48.97,8927
04/06/2019 08,27.81,48.93,9080
04/06/2019 09,28.42,48.9,9353
04/06/2019 10,29.76,48.87,9597
04/06/2019 11,32.78,48.84,9711
04/06/2019 12,30.55,48.82,9700
04/06/2019 13,32.97,48.8,9708
04/06/2019 14,32.91,48.78,9675
04/06/2019 15,32.78,48.78,9673
04/06/2019 16,31.49,48.78,9640
04/06/2019 17,30.19,48.77,9633
04/06/2019 18,28.47,48.75,9623
04/06/2019 19,30.7,48.74,9572
04/06/2019 20,28.47,48.74,9497
04/06/2019 21,29.76,48.73,9616
04/06/2019 22,32.78,48.73,9604
04/06/2019 23,32.78,48.72,9381
04/06/2019 24,32.78,48.72,9082
04/07/2019 01,28.83,48.71,8886
04/07/2019 02,27.28,48.7,8822
04/07/2019 03,27.05,48.69,8739
04/07/2019 04,27.05,48.68,8664
04/07/2019 05,28.39,48.67,8676
04/07/2019 06,28.47,48.66,8752
04/07/2019 07,28.63,48.66,8851
04/07/2019 08,28.48,48.65,8881
04/07/2019 09,31.5,48.63,9065
04/07/2019 10,32.78,48.6,9221
04/07/2019 11,32.78,48.58,9371
04/07/2019 12,32.78,48.57,9465
04/07/2019 13,32.78,48.55,9479
04/07/2019 14,29.47,48.54,9425
04/07/2019 15,27.66,48.53,9376
04/07/2019 16,28.46,48.52,9394
04/07/2019 17,28.47,48.5,9477
04/07/2019 18,28.47,48.48,9521
04/07/2019 19,28.46,48.45,9501
04/07/2019 20,28.47,48.06,9428
04/07/2019 21,31.14,47.86,9574
04/07/2019 22,29.86,47.78,9569
04/07/2019 23,29.96,47.74,9291
04/07/2019 24,31.63,47.71,8980
04/08/2019 01,28.47,47.68,8791
04/08/2019 02,28.47,47.66,8709
04/08/2019 03,28.46,47.63,8658
04/08/2019 04,28.46,47.62,8661
04/08/2019 05,28.47,47.62,8729
04/08/2019 06,31.8,47.61,8969
04/08/2019 07,33.12,47.61,9399
04/08/2019 08,37.03,47.6,9713
04/08/2019 09,52.13,47.61,9808
04/08/2019 10,42.52,47.61,9753
04/08/2019 11,43.26,47.61,9805
04/08/2019 12,57.59,47.64,9820
04/08/2019 13,56.4,47.66,9783
04/08/2019 14,60.16,47.68,9771
04/08/2019 15,49.76,47.69,9764
04/08/2019 16,45.53,47.69,9804
04/08/2019 17,56.18,47.71,9835
04/08/2019 18,50.47,47.74,9794
04/08/2019 19,50.01,47.76,9650
04/08/2019 20,50.01,47.78,9642
04/08/2019 21,49.25,47.79,9725
04/08/2019 22,36.86,47.78,9680
04/08/2019 23,33.07,47.77,9365
04/08/2019 24,32.79,47.74,9086
04/09/2019 01,33.13,47.71,8886
04/09/2019 02,32.79,47.68,8784
04/09/2019 03,32.79,47.64,8743
04/09/2019 04,32.78,47.61,8762
04/09/2019 05,32.79,47.6,8787
04/09/2019 06,30.8,47.6,8946
04/09/2019 07,32.93,47.59,9285
04/09/2019 08,33.2,47.59,9540
04/09/2019 09,33.23,47.58,9667
04/09/2019 10,37.85,47.57,9694
04/09/2019 11,34.37,47.56,9666
04/09/2019 12,33.23,47.55,9660
04/09/2019 13,33.23,47.54,9594
04/09/2019 14,33.23,47.54,9605
04/09/2019 15,33.22,47.54,9570
04/09/2019 16,33.11,47.54,9617
04/09/2019 17,54.11,47.57,9699
04/09/2019 18,52.02,47.59,9689
04/09/2019 19,36.61,47.6,9506
04/09/2019 20,33.23,47.59,9442
04/09/2019 21,35.85,47.58,9605
04/09/2019 22,45.42,47.59,9628
04/09/2019 23,33.25,47.59,9309
04/09/2019 24,31.86,47.59,8982
04/10/2019 01,32.78,47.58,8798
04/10/2019 02,32.78,47.58,8675
04/10/2019 03,32.79,47.58,8646
04/10/2019 04,32.79,47.58,8660
04/10/2019 05,33.22,47.58,8732
04/10/2019 06,33.22,47.58,8889
04/10/2019 07,44.39,47.58,9275
04/10/2019 08,47.57,47.57,9646
04/10/2019 09,42.32,47.55,9715
04/10/2019 10,46.18,46.81,9771
04/10/2019 11,46.24,46.72,9766
04/10/2019 12,34.02,46.33,9747
04/10/2019 13,33.23,46.3,9742
04/10/2019 14,33.23,46.26,9666
04/10/2019 15,32.18,46.25,9636
04/10/2019 16,32.78,46.24,9644
04/10/2019 17,33.04,46.24,9765
04/10/2019 18,33.22,46.22,9803
04/10/2019 19,32.99,46.22,9758
04/10/2019 20,32.99,46.22,9722
04/10/2019 21,32.99,46.2,9802
04/10/2019 22,32.99,46.19,9704
04/10/2019 23,32.19,46.19,9392
04/10/2019 24,31.13,46.19,9066
04/11/2019 01,28.46,46.18,8847
04/11/2019 02,28.39,46.18,8715
04/11/2019 03,28.47,46.17,8694
04/11/2019 04,28.46,46.17,8706
04/11/2019 05,28.47,46.16,8753
04/11/2019 06,28.83,46.15,8900
04/11/2019 07,32.87,46.15,9322
04/11/2019 08,33.22,46.15,9641
04/11/2019 09,33.23,46.15,9678
04/11/2019 10,33.23,46.14,9739
04/11/2019 11,33.23,46.13,9749
04/11/2019 12,33.23,46.11,9745
04/11/2019 13,42.89,46.11,9741
04/11/2019 14,35.62,46.09,9744
04/11/2019 15,33.23,46.07,9731
04/11/2019 16,37.02,46.03,9744
04/11/2019 17,44.74,46.01,9788
04/11/2019 18,40.19,46,9753
04/11/2019 19,33.2,45.98,9618
04/11/2019 20,39.33,45.97,9626
04/11/2019 21,50.62,45.96,9771
04/11/2019 22,73.79,46,9719
04/11/2019 23,41.44,46,9454
04/11/2019 24,34.32,46,9132
04/12/2019 01,33.22,46,8910
04/12/2019 02,32.92,46,8728
04/12/2019 03,32.79,46,8609
04/12/2019 04,32.79,46,8640
04/12/2019 05,33.18,46,8763
04/12/2019 06,33.23,46,8907
04/12/2019 07,38.14,46,9288
04/12/2019 08,71.2,46.04,9649
04/12/2019 09,90,46.1,9736
04/12/2019 10,116,46.2,9766
04/12/2019 11,105.96,46.29,9761
04/12/2019 12,85.7,46.34,9696
04/12/2019 13,57.75,46.36,9693
04/12/2019 14,60.22,46.37,9688
04/12/2019 15,60.23,46.39,9681
04/12/2019 16,66.98,46.42,9636
04/12/2019 17,60.23,46.43,9613
04/12/2019 18,49,46.44,9610
04/12/2019 19,34.28,46.42,9519
04/12/2019 20,33.23,46.4,9479
04/12/2019 21,42.07,46.39,9567
04/12/2019 22,38.61,46.38,9592
04/12/2019 23,32.99,46.37,9319
04/12/2019 24,33.18,46.37,9026
04/13/2019 01,32.72,46.37,8807
04/13/2019 02,32.59,46.37,8666
04/13/2019 03,32.58,46.37,8611
04/13/2019 04,32.58,46.36,8620
04/13/2019 05,32.58,46.36,8639
04/13/2019 06,32.58,46.36,8713
04/13/2019 07,31.78,46.36,8819
04/13/2019 08,31.15,46.34,9007
04/13/2019 09,32.58,46.33,9239
04/13/2019 10,32.59,46.31,9427
04/13/2019 11,32.59,46.3,9495
